Quarter,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2016 January,19.726,114.387,83.674,146.661,1406.014,186.822,112.811,38.027,30.782,641.684,283.762,37.157,94.472,54.58,380.958,156.103,84.538,117.249,120.511,235.375,166.824,48.745,232.485,151.545,183.278,68.415,43.12,260.15,29.873,67.831,48.084,251.987,54.16,79.955,609.278,277.466,102.994,137.836,339.236,44.183,35.796,119.093,30.316,147.444,636.468,90.463,253.852,3.252,23.254,238.02,159.058,45.814,24.542
2016 April,19.942,115.431,83.949,148.652,1422.416,187.68,113.469,37.77,31.024,647.485,288.892,37.592,94.663,55.66,386.293,156.997,84.822,117.443,121.614,239.167,167.786,49.429,232.658,153.491,184.413,68.661,43.799,262.112,29.996,68.785,48.763,254.817,54.371,80.041,615.642,278.527,103.441,137.963,338.471,44.405,36.089,120.313,30.518,147.822,638.388,91.558,258.594,3.235,23.452,236.192,161.069,45.978,24.7
2016 July,20.095,116.163,84.404,150.4,1445.11,190.143,113.403,38.984,31.339,654.757,291.038,38.017,95.088,56.694,389.831,157.431,85.358,118.321,122.72,240.828,166.714,50.182,234.593,155.25,183.887,69.774,43.889,259.474,30.072,69.538,49.238,258.259,53.777,80.517,621.855,279.075,103.732,140.613,339.438,43.952,36.295,121.368,30.596,149.268,644.368,93.131,260.5,3.255,23.691,236.546,162.938,46.24,24.525
2016 October,20.004,118.149,84.761,152.469,1467.915,189.345,113.939,39.182,31.343,663.829,295.105,38.497,95.446,57.475,393.619,155.898,85.492,118.212,123.839,242.633,168.269,51.055,234.451,156.748,186.772,70.192,44.475,262.246,30.101,67.523,49.375,264.3,54.112,80.229,625.927,279.569,103.54,142.605,339.779,43.911,36.432,122.62,30.804,150.706,647.562,94.434,254.355,3.313,23.799,237.123,162.839,46.31,24.356
2017 January,19.496,116.577,84.556,151.659,1455.994,192.81,114.028,38.777,31.222,660.743,262.466,38.437,94.571,57.273,347.452,158.995,84.225,114.534,123.066,243.03,168.627,50.228,234.307,156.812,190.386,68.473,45.212,262.005,29.724,68.002,48.582,255.184,53.908,77.167,614.588,280.091,103.43,141.841,341.362,44.318,36.35,122.231,30.613,150.951,654.419,93.002,257.487,3.281,23.852,239.176,162.192,45.796,24.348
2017 April,19.782,117.793,84.798,153.918,1469.788,195.284,115.061,38.58,31.312,668.791,267.29,38.901,95.082,58.109,352.51,159.449,84.356,115.525,124.297,244.574,169.228,50.723,237.545,160.243,194.941,68.72,46.067,264.477,29.835,68.986,49.312,258.376,53.659,77.851,621.536,281.598,104.385,143.7,340.438,44.708,36.584,123.951,30.788,151.99,657.152,94.603,261.649,3.223,24.062,237.367,164.092,46.197,24.569
2017 July,20.017,118.916,85.243,155.746,1485.239,196.848,115.792,39.935,31.515,666.111,266.085,39.383,95.882,58.852,354.673,159.88,83.187,116.097,125.236,247.202,167.672,51.27,237.827,162.401,198.016,69.411,47.032,266.556,29.897,69.743,49.594,260.465,53.944,78.866,627.735,282,105.004,146.037,340.431,43.474,36.867,125.665,30.979,153.199,662.315,95.892,263.737,3.344,24.075,237.055,165.726,46.532,24.786
2017 October,19.917,121.004,85.811,158.149,1508.465,196.406,116.014,40.969,31.43,673.997,266.392,39.968,96.07,59.449,358.804,158.193,83.406,116.45,125.952,246.79,169.084,51.272,239.875,164.475,199.129,70.048,47.96,268.517,29.941,67.865,49.903,264.786,54.47,79.282,629.373,282.844,105.64,146.751,340.641,43.038,36.794,127.915,31.06,154.193,667.708,98.059,266.911,3.275,24.147,235.666,165.141,46.803,24.784
2018 January,19.589,119.359,85.71,153.737,1492.681,199.314,116.357,39.013,31.709,674.225,268.715,39.551,96.143,58.681,355.711,161.577,82.969,117.924,124.543,247.276,169.316,49.87,237.66,165.068,185.634,69.134,46.339,272.064,29.596,68.181,49.079,258.915,55.306,78.099,616.617,282.604,104.411,145.869,341.499,42.893,36.92,125.233,31.04,155.144,672.247,96.668,267.153,3.28,23.943,241.572,165.171,46.831,24.679
2018 April,19.865,120.094,85.94,155.455,1507.029,201.443,117.219,38.753,32.32,681.069,268.332,39.911,96.622,60.137,359.504,162.484,83.423,118.138,125.534,249.657,169.24,49.692,239.046,167.738,190.16,69.538,47.379,270.83,29.847,69.023,49.878,261.261,56.058,79.168,621.051,281.788,104.925,148.064,342.904,43.006,37.151,127.582,31.17,156.602,674.05,98.471,268.396,3.284,24.078,244.456,167.026,46.953,24.831
2018 July,20.019,121.207,86.353,157.672,1522.971,203.329,117.746,39.68,32.953,686.422,269.466,40.48,96.777,61.75,358.437,163.275,84.118,114.313,126.714,250.038,169.458,49.531,244.225,170.169,193.014,70.161,48.451,267.526,30.068,66.94,50.424,264.341,56.482,79.813,625.559,283.476,104.691,150.47,342.76,43.129,37.506,129.155,31.37,158.174,680.572,100.334,271.933,3.442,24.336,245.321,168.671,47.265,24.916
2018 October,20.083,123.255,87.058,160.127,1548.706,202.966,118.728,39.853,33.254,696.397,275.651,41.155,97.099,62.933,360.462,160.772,84.643,115.7,127.985,252.679,171.324,50.154,242.879,172.164,195.335,70.745,49.431,270.514,30.006,67.755,50.834,268.119,57.028,81.41,628.086,284.672,105.529,152.268,342.789,43.339,37.637,131.463,31.563,159.603,687.099,102.789,275.264,3.313,24.336,245.541,169.74,47.313,25.066
2019 January,19.744,121.712,87.05,159.104,1526.569,205.023,118.431,39.678,33.189,703.024,273.945,41.356,97.329,58.396,363.056,162.975,82.216,117.886,127.211,252.912,171.736,49.948,242.161,167.59,196.456,69.037,46.396,275.732,29.62,67.979,50.112,267.566,57.616,79.172,618.174,285.693,104.806,150.769,344.275,44.424,37.951,134.684,31.546,160.452,692.054,101.401,271.456,3.353,24.292,247.316,166.956,46.841,25.013
2019 April,20.092,123.235,87.237,160.836,1539.626,207.104,119.592,39.512,33.72,706.099,276.818,41.825,98.012,59.664,366.156,163.463,81.722,116.444,128.187,254.284,172.901,50.43,254.328,170.726,198.07,69.241,47.264,276.315,29.864,69.021,50.864,270.426,58.068,80.39,627.518,286.407,105.318,152.141,345.156,45.09,38.107,135.678,31.671,161.378,694.953,102.902,273.238,3.288,24.487,247.97,168.965,46.875,25.191
2019 July,20.325,123.368,87.849,162.696,1559.922,209.363,120.127,40.924,34.116,714.994,281.755,42.373,98.329,61.083,366.038,163.785,82.653,118.024,129.457,253.755,172.294,50.729,260.538,173.019,199.798,70.13,48.477,279.407,29.879,66.43,51.439,273.427,59.156,81.89,629.058,288.102,106.242,153.617,346.356,45.394,38.177,138.207,31.806,162.019,700.749,104.658,271.559,3.282,24.568,249.022,168.861,46.97,25.29
2019 October,20.487,124.326,88.583,165.815,1586.287,208.811,120.42,41.213,34.282,723.098,288.596,42.959,98.277,63.429,368.013,162.857,83.728,116.349,130.623,253.669,173.544,50.725,258.84,175.032,203.143,70.838,49.486,283.688,30.014,67.485,52.023,274.78,60.366,83.698,633.094,289.2,106.892,155.039,347.333,45.762,38.362,137.424,32.071,164.143,704.797,107.253,272.777,3.232,24.744,249.997,170.18,47.159,25.531
2020 January,20.319,123.323,88.715,166.046,1572.984,211.72,120.589,41.739,34.466,729.05,294.707,42.859,98.35,63.489,367.184,166.624,81.85,118.773,131.603,253.609,174.135,50.594,259.363,171.305,204.516,69.828,48.296,288.015,30.149,67.986,51.484,277.09,58.73,83.923,634.368,289.436,105.886,155.404,346.945,44.679,38.858,138.368,32.144,165.806,713.594,105.054,272.92,3.419,24.651,251.996,169.887,47.297,25.69
2020 April,20.556,124.5,88.623,167.955,1583.308,214.002,120.357,41.326,34.327,732.344,296.684,43.454,98.485,65.836,369.337,167.802,82.938,120.145,132.28,254.281,172.471,50.72,261.197,173.442,206.24,70.058,49.36,289.383,30.326,68.728,52.117,278.66,58.76,85.163,632.612,289.085,106.454,155.886,345.668,43.947,38.847,140.316,32.151,166.378,714.04,107.196,274.413,3.25,24.737,250.797,171.711,47.369,25.74
2020 July,20.78136044,124.2702125,89.07113111,169.4381657,1603.013765,216.300499,121.2460287,41.41096077,34.23548046,738.6595656,296.6378325,43.97542787,98.74130713,64.58697694,368.9677841,167.630468,84.20179395,118.1449669,133.4003885,254.7176177,172.9587131,50.47213148,261.8005829,175.3277676,206.2733781,70.28955915,50.00603892,291.1861527,29.83998307,66.52036432,52.85344881,283.1084348,58.7516132,87.66496773,625.713779,289.7246386,106.5916222,157.4682656,345.3368084,43.18021167,39.01902401,141.4696023,32.31657306,167.6232324,720.460431,108.3945601,272.6394805,3.32692387,24.81258466,251.2682529,172.79677,47.37722154,25.75542455
2020 October,20.96248813,125.5074943,89.80721705,172.0572919,1630.711079,215.8724785,121.1180564,42.10260547,34.23742977,742.8496402,296.6633001,44.53313313,98.84216599,65.28787621,368.7172967,165.5601369,83.72465818,117.4885376,134.4820701,255.1428641,173.2956948,50.04879302,261.6208136,177.1513024,206.2704471,70.80469721,50.41105231,292.9641424,29.72819697,68.3027861,53.43815354,282.0757825,58.74507832,89.76768749,633.0113666,290.3641776,107.3149182,158.8388122,345.2209298,42.68648401,39.19103374,142.6229973,32.57134758,168.986399,724.054168,111.4593527,274.1646088,3.266675683,24.88811346,250.5083854,173.059135,47.37496221,25.8671839
2021 January,20.68351683,124.5635399,90.00906931,172.5584082,1618.109654,218.0551058,120.8294432,42.15428548,34.23738825,748.121892,296.6492513,44.4612954,98.81784616,64.36615636,368.5473583,168.2012553,82.28733046,117.2730914,135.431208,255.5570353,173.1747436,49.70592707,261.6743556,174.3729789,206.2707044,69.89889898,50.55736007,294.7173204,29.78826427,68.38310993,52.896396,285.5708129,58.73998641,89.79693018,632.3273497,291.0036172,106.5500017,159.3628421,345.1803857,42.56505336,39.36302919,143.7761851,32.68876759,170.1551751,733.2532073,109.1744626,275.2038364,3.324693205,24.96358644,251.2676015,172.7497806,47.37558309,26.04102476
2021 April,20.85288529,125.7746133,89.81463749,174.1523326,1627.129564,220.4374054,120.5713192,41.49612631,34.23738914,752.4888861,296.6570011,44.97656415,98.79813248,65.18212564,368.4320668,168.9780104,83.73873821,117.20238,136.1098717,255.9604197,172.4152876,49.91891074,261.6584088,175.7958952,206.2706818,70.09241045,51.17758532,296.4460328,29.96410482,67.91481259,53.45641357,285.1141896,58.73601886,90.34357994,632.6805926,291.6429573,106.507352,159.9761432,345.1662,42.80742058,39.53501037,144.9291656,32.69631855,171.3153175,734.0541048,111.3321332,275.8852149,3.268823758,25.03900364,250.5090363,174.1288511,47.37541247,26.18126343