Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1971,33.79528986,74.26467662,71.89755556,74.11055556,67.14109195,56.78478836,58.4625,64.14444444,81.10696517,74.48301887,58.21885522,53.74545455,63.10612745,62.21684783,66.18539683,66.42736111,77.34114583,57.625,64.18854167,52.290625,54.84598394,51.65316092,65.92927536,74.88597561,52.28943452,69.01633333,50.33003145,60.75833333,54.49333333,61.62261905,67.16717172,61.67598039,55.61370968,61.07149621,71.80021645,56.98912037,58.67823383,58.44166667,73.48315217,55.87897436,68.94973684,77.18254593,56.82931034,65.99356061,51.95535714,55.75213675,53.03043981,62.77181818,52.98804348
1972,34.55724638,74.4431592,71.19022222,75.58277778,67.94841954,57.09603175,57.13958333,62.76111111,81.13097015,74.5177673,55.80563973,54.25473485,60.62214052,60.13405797,65.32849206,65.10215278,77.23997396,55.87142857,62.915625,50.45416667,52.08443775,49.18639847,64.31608696,75.00223577,51.23720238,68.51083333,48.62830189,59.74910394,52.56,60.55515873,67.89772727,62.69019608,54.04986559,59.00710227,71.46450216,58.01712963,57.29900498,57.1,73.32789855,53.93679487,68.06684211,76.57831365,58.35890805,65.00044192,50.40892857,55.85277778,50.5537037,61.53575758,53.2173913
1973,35.51630435,74.33258706,70.95366667,74.14277778,67.92126437,55.84537037,60.27291667,65.28055556,80.43208955,74.42059748,58.38627946,55.03693182,62.78161765,62.72644928,65.4568254,66.70743056,76.51158854,58.92678571,65.15104167,53.27916667,55.53062249,53.60632184,65.23347826,74.84837398,53.99717262,69.58725,53.19386792,60.53216846,55.70083333,63.33412698,66.38535354,62.44215686,57.39650538,61.83342803,70.45454545,58.56134259,59.94241294,60.065,73.94311594,57.72807692,69.06596491,75.48835302,56.42068966,66.7167298,53.62738095,57.02970085,54.28738426,63.71969697,53.07101449
1974,35.97282609,74.78470149,71.00188889,75.3,68.62571839,57.68743386,58.596875,64.84722222,81.53868159,75.35476939,58.20673401,55.8375,61.80767974,61.31956522,66.93571429,65.89833333,77.01354167,57.5375,64.7375,51.37760417,53.80210843,52.29952107,65.22413043,74.79105691,54.54017857,69.7255,51.7254717,62.69677419,54.2625,62.25992063,67.7260101,63.90686275,55.50336022,60.38778409,71.8775974,58.90300926,58.84564677,58.53,74.69836957,58.93,68.68412281,76.59484908,58.80948276,66.69002525,51.66130952,57.31880342,52.92615741,63.02833333,55.32898551
1975,34.44384058,73.89651741,70.79822222,74,67.13045977,56.58373016,58.95520833,64.73888889,81.46791045,74.60618449,57.87710438,52.83939394,62.09820261,61.95615942,66.18079365,66.22833333,76.54114583,58.19940476,64.47222222,52.84895833,54.91807229,51.76005747,65.33,74.21910569,50.44270833,69.925,50.44072327,60.48405018,55.13416667,62.36666667,66.57727273,61.55882353,56.43373656,60.93390152,70.7487013,56.89444444,59.12400498,58.94166667,74.3125,55.89038462,68.7072807,76.08799213,56.15718391,66.48377525,53.07738095,55.39273504,53.53310185,63.27772727,52.81702899
1976,37.15144928,72.67524876,70.61677778,74.765,69.46178161,58.11388889,58.28958333,64.22222222,79.51007463,73.2327044,59.41843434,55.20246212,62.10857843,61.3861413,67.82277778,64.99875,75.77877604,57.4922619,64.00625,51.7046875,53.89809237,54.17538314,65.65550725,73.46666667,55.07142857,68.76441667,54.12783019,62.71774194,53.99416667,61.6031746,67.13257576,63.70882353,54.84973118,59.86922348,71.94177489,58.3025463,57.98034826,58.16833333,72.88586957,59.55935897,67.45622807,75.15541339,59.02068966,65.98314394,51.32738095,56.51068376,53.73032407,61.91333333,55.35289855
1977,38.30398551,74.20522388,72.11222222,75.85055556,69.16178161,59.30568783,58.42916667,64.58055556,80.17947761,74.47526205,59.26767677,55.71231061,62.11560458,61.51268116,67.84952381,65.73402778,76.88932292,57.42321429,64.44895833,52.06197917,54.59066265,52.96858238,65.45369565,74.81534553,53.60193452,69.185,52.55597484,62.61075269,54.33666667,61.94920635,68.67676768,64.32990196,55.50967742,60.47698864,73.1724026,58.41805556,58.58146766,58.57166667,73.93134058,57.30166667,68.58745614,77.52549213,60.05574713,66.26824495,52.0375,56.76239316,53.8099537,62.48,55.8326087
1978,39.80833333,73.74253731,70.16433333,74.72388889,68.37557471,57.23386243,57.17916667,62.675,80.03619403,74.14722222,55.9263468,54.6032197,60.09558824,59.53813406,65.0797619,64.01701389,75.94726563,56.36309524,62.746875,51.58541667,53.20451807,51.08199234,63.33586957,73.88689024,50.31815476,68.18858333,49.56808176,58.71908602,53.53583333,60.28928571,67.38712121,62.38529412,54.35793011,58.40814394,70.75519481,57.74328704,57.03631841,57.1,73.14130435,53.99115385,67.48684211,75.39393045,58.08591954,64.86969697,51.10892857,56.19444444,52.15439815,60.98621212,52.62536232
1979,38.57463768,72.49738806,68.815,74.67666667,68.75761494,56.25846561,58.50625,63.19166667,80.04228856,73.23259958,55.74124579,55.3780303,59.99901961,59.50960145,64.76738095,63.80881944,75.05729167,57.66547619,62.98923611,52.53645833,52.75451807,49.25900383,63.02086957,72.50152439,52.68452381,68.18833333,48.55377358,59.01586022,54.49666667,61.21190476,66.57449495,63.35588235,55.45564516,58.7030303,69.50909091,58.37268519,57.7181592,58.58833333,72.77427536,54.33,66.43508772,74.61309055,57.6112069,64.76881313,52.47857143,57.20598291,51.04560185,61.04969697,53.70942029
1980,37.4576087,74.27599502,72.28277778,75.98222222,68.86436782,58.53849206,58.5625,63.925,80.29589552,74.41949686,58.93989899,55.31477273,61.92107843,60.87309783,67.9715873,65.541875,77.11666667,57.19940476,63.95520833,51.3890625,53.03273092,53.25584291,66.45021739,74.6101626,54.21339286,68.88891667,53.33537736,62.7421147,53.64333333,61.9734127,68.78207071,63.54117647,55.09099462,59.28229167,73.51298701,58.12592593,58.17201493,58.24833333,73.51032609,58.90346154,68.6845614,77.3800853,58.93074713,65.95410354,51.1625,56.13995726,52.98935185,61.71212121,55.53115942
1981,39.84710145,74.13482587,71.47711111,76.75611111,69.96623563,59.75687831,58.73645833,63.34166667,80.55995025,74.1937631,59.99924242,56.87954545,62.31960784,61.05425725,68.02746032,65.2675,77.14375,57.48035714,63.42534722,52.896875,54.38062249,54.42729885,65.77608696,74.89898374,56.13229167,68.41141667,55.04559748,63.51971326,54.6875,61.56507937,69.14217172,65.45882353,55.6422043,59.53787879,72.44859307,59.13402778,58.02798507,58.405,73.48188406,60.05910256,68.02394737,76.65892388,60.51637931,65.31464646,52.5297619,57.68675214,54.21458333,61.54924242,57.48224638
1982,35.96413043,74.5391791,70.76922222,73.68666667,66.52126437,56.38293651,58.60416667,63.90555556,81.460199,74.65938155,56.11700337,52.80189394,61.12148693,61.12509058,65.32380952,66.165625,77.29192708,57.32142857,63.91666667,51.97395833,53.68232932,50.47480843,64.14833333,74.72276423,50.56800595,68.81,48.91902516,59.27804659,54.24166667,61.59880952,66.66843434,60.41078431,55.96491935,60.70975379,71.19880952,56.82060185,58.66455224,58.16666667,73.57192029,54.47564103,68.58096491,76.39685039,56.0295977,65.74772727,52.49642857,55.99786325,52.10219907,63.21242424,52.73731884
1983,38.07065217,72.34402985,69.596,73.71777778,67.30545977,56.19232804,59.66979167,64.70833333,79.1358209,72.95262055,57.25749158,54.37897727,62.02026144,62.03922101,64.48603175,65.77833333,74.82734375,58.7202381,64.45243056,53.53385417,54.75863454,51.82662835,64.315,72.4777439,53.48080357,68.41191667,51.78694969,59.33405018,55.58333333,62.77301587,66.54848485,61.29803922,56.73602151,61.14043561,69.54718615,57.58101852,59.23495025,59.61166667,72.78967391,55.87871795,67.67517544,75.02135827,56.97241379,65.74854798,52.87857143,56.89273504,53.17511574,62.64575758,53.74927536
1984,37.32137681,74.71231343,71.04044444,74.63,69.21364943,55.84854497,59.078125,64.21666667,80.40858209,74.94192872,58.11262626,52.3405303,62.0622549,61.34139493,66.13896825,65.96361111,76.90364583,58.28869048,64.16284722,53.06510417,54.72630522,52.61724138,65.14362319,74.6495935,53.36830357,69.3,52.33962264,60.28602151,55.39416667,62.0797619,66.53888889,61.75637255,56.18400538,60.33996212,71.85692641,56.89421296,58.64004975,58.92833333,74.23731884,56.39705128,68.72947368,76.90108268,55.65172414,66.13977273,53.17738095,55.64358974,53.7962963,62.75969697,53.17101449
1985,37.00905797,73.88507463,70.72133333,74.75944444,68.44353448,56.43187831,58.928125,65.2,81.20646766,74.61750524,56.49924242,52.23522727,61.09534314,61.22817029,64.30706349,65.37597222,76.63919271,57.77559524,65.17083333,52.15416667,53.76134538,50.64348659,63.3557971,73.98434959,51.07217262,69.77566667,49.95267296,59.20815412,54.40166667,62.60198413,67.19166667,62.29313725,55.93091398,60.59204545,70.45562771,56.74236111,59.18109453,58.68833333,74.3817029,54.83782051,68.01649123,75.92089895,57.2,66.78434343,51.85059524,54.82905983,52.37881944,62.88757576,53.01557971
1986,38.31449275,75.61753731,72.47222222,75.78388889,69.76350575,58.71296296,58.72395833,65.00555556,81.72885572,76.25995807,58.5280303,56.45814394,63.21805556,62.34565217,68.46896825,67.286875,77.72135417,57.50416667,65.046875,52.18125,54.64949799,52.7887931,66.47036232,75.82063008,54.53080357,70.352,52.61163522,62.72311828,54.285,62.40912698,67.62323232,65.0004902,55.97016129,61.33304924,72.30909091,59.44490741,59.09788557,58.36166667,75.62155797,56.79179487,69.92421053,76.98149606,59.49741379,66.85618687,52.24821429,57.66196581,53.7900463,63.46893939,55.57826087
1987,38.73043478,74.94129353,72.57611111,74.71055556,69.51752874,57.91428571,59.29270833,64.87777778,80.36504975,74.64910901,61.91212121,57.96685606,64.91446078,63.75471014,67.47452381,67.87027778,77.11901042,57.9077381,65.23263889,52.8234375,57.30491968,57.34549808,67.2684058,75.33668699,57.25922619,69.22566667,56.47437107,63.76236559,54.81333333,62.47738095,66.48813131,63.89411765,56.75228495,62.57130682,71.43971861,60.66921296,59.8170398,58.69333333,73.90199275,60.77653846,69.88780702,75.9257874,59.02758621,66.71010101,52.81607143,59.32393162,57.01793981,64.05015152,56.52427536
1988,38.00724638,73.92649254,71.72144444,75.93944444,70.35761494,58.15886243,58.92916667,64.3,80.10771144,74.04696017,60.84587542,57.3592803,63.96658497,62.78061594,67.93865079,66.87875,76.66367187,57.91785714,64.48020833,52.81458333,55.66114458,54.63908046,66.73811594,74.48414634,57.12306548,68.50583333,55.28836478,63.40806452,54.71833333,62.11269841,67.44671717,64.62745098,56.38360215,61.41846591,71.96374459,59.83333333,59.22226368,58.655,73.25217391,59.43602564,68.80289474,77.06122047,59.57758621,66.06275253,52.51488095,57.9215812,55.33171296,63.40106061,57.21884058
1989,37.85,73.12736318,69.91244444,77.77222222,69.225,58.61997354,58.24375,63.38611111,81.45149254,73.9759434,57.92483165,55.28674242,61.22042484,60.35597826,66.12984127,64.89666667,75.76080729,57.04880952,63.38993056,51.52083333,53.46154618,51.88065134,64.32884058,73.17174797,52.61889881,68.33408333,51.50062893,61.56227599,53.7025,61.16507937,69.53510101,64.04705882,55.11115591,59.22926136,70.28744589,58.39907407,57.73631841,58.04333333,73.20869565,56.57705128,67.16666667,76.35406824,59.76264368,65.2957702,51.53214286,56.94423077,52.54537037,61.76606061,54.90724638
1990,37.07318841,77.18594527,73.17388889,75.18777778,69.5137931,58.28492063,61.31041667,67.22222222,83.27151741,77.52216981,60.17659933,56.49602273,64.17777778,63.58333333,68.09055556,68.43375,78.79140625,59.92916667,67.29513889,54.1828125,56.21375502,55.06676245,67.23507246,76.86829268,55.36309524,72.1815,55.10943396,63.20851254,56.6975,64.61785714,67.81893939,63.82254902,58.41733871,62.65909091,72.98658009,59.14675926,61.28395522,60.955,76.96394928,59.51307692,70.89903509,77.58667979,59.50574713,69.20486111,54.40833333,57.60576923,55.61979167,65.53818182,55.59347826
1991,38.02391304,74.69502488,71.70088889,74.54555556,69.41537356,57.74391534,61.57395833,67.08055556,81.4170398,74.96278826,58.87053872,55.76875,64.07116013,63.76050725,68.2147619,67.87138889,76.70833333,60.27559524,67.31076389,54.05364583,56.36365462,53.22116858,66.81702899,74.7703252,54.84345238,70.588,53.5927673,62.91603943,56.69083333,64.92301587,66.71767677,63.29656863,58.68682796,63.22651515,72.05357143,59.26828704,61.83569652,61.38166667,74.57554348,58.44717949,69.63701754,76.16971785,57.96149425,68.55801768,54.26964286,57.45021368,54.44895833,65.39151515,55.20978261
1992,36.48949275,73.02014925,70.52011111,74.51777778,70.31436782,57.70634921,57.71875,63.25555556,80.11927861,73.19979036,57.69814815,58.01912879,62.06617647,60.99356884,65.7747619,65.38493056,76.05442708,56.53928571,63.32881944,51.49583333,53.15973896,51.83438697,64.96681159,73.66534553,55.86175595,68.28241667,52.43647799,61.11738351,53.32916667,60.91587302,66.90909091,64.84803922,54.59422043,59.76496212,70.92748918,61.53356481,57.60597015,57.755,72.78242754,56.72192308,67.41394737,75.89012467,59.70517241,65.08680556,50.94464286,59.33739316,52.64722222,61.94257576,56.33623188
1993,40.70652174,73.59154229,69.86877778,75.16388889,68.42155172,56.19775132,59.08958333,64.51666667,80.5460199,74.39842767,54.81388889,52.95170455,60.3750817,60.26358696,63.07587302,65.47479167,75.99908854,57.84047619,64.403125,52.35260417,53.23624498,49.7637931,62.70195652,73.53119919,51.03616071,69.34875,49.21855346,57.42616487,54.64416667,62.32539683,67.80050505,61.76176471,55.6375,59.98664773,69.64989177,57.15555556,58.77985075,58.95333333,73.99637681,53.06653846,68.01561404,75.74891732,57.1066092,66.32670455,51.81904762,55.86452991,51.77164352,62.93515152,51.90724638
1994,37.38804348,73.87723881,71.067,76.19666667,68.90704023,59.48201058,59.44791667,65.12222222,81.04800995,74.16865828,58.13291246,57.38011364,62.7248366,62.09347826,67.45150794,66.55097222,76.50859375,58.37142857,64.97604167,52.39375,54.67781124,52.27988506,65.46217391,74.21443089,55.09255952,69.67366667,51.15786164,61.89408602,54.7225,62.69801587,69.47777778,64.20637255,55.95120968,61.04905303,71.83852814,59.8337963,59.03718905,59.17333333,73.87898551,56.10602564,68.61526316,77.2808727,60.46781609,67.02203283,51.9547619,58.46688034,53.8162037,63.50833333,56.81086957
1995,38.49818841,74.37350746,71.68011111,76.71,69.3441092,58.25608466,59.390625,64.95555556,80.71803483,74.45393082,57.18030303,55.93257576,62.19607843,61.92092391,66.25619048,66.36909722,77.49947917,58.20654762,64.73333333,52.7921875,54.36114458,51.39003831,64.90695652,74.93577236,53.55595238,68.85991667,50.13867925,60.9547491,54.90833333,62.60992063,69.28813131,64.15392157,56.48844086,60.39545455,71.59534632,59.4150463,59.10410448,59.38,73.60471014,55.18551282,68.52701754,77.19704724,59.85143678,66.23162879,52.72202381,57.9965812,53.12789352,62.83969697,54.77065217
1996,36.79818841,73.4659204,70.40366667,77.82055556,70.27729885,58.80727513,58.209375,63.32777778,80.275,73.9110587,55.36329966,55.75890152,60.59109477,60.13550725,65.54436508,64.91881944,76.7171875,57.2172619,62.97638889,51.89791667,52.77208835,49.05258621,63.53724638,74.15680894,51.12455357,68.127,47.29103774,58.86899642,54.02666667,61.12261905,69.75555556,65.0004902,55.12701613,59.27774621,71.47683983,59.0650463,57.68756219,58.04,73.17065217,52.6624359,67.29921053,77.94311024,60.40977011,64.83257576,51.72797619,56.14337607,51.12118056,61.56424242,54.51992754
1997,39.58152174,73.27487562,70.34277778,76.045,70.16508621,57.27579365,58.88020833,64.70833333,81.06243781,73.9057652,57.1047138,55.71477273,61.06446078,60.40851449,65.45253968,65.09236111,76.14101563,57.6702381,64.571875,51.76458333,53.5874498,51.67011494,63.88891304,73.5898374,53.94017857,68.87816667,51.86147799,60.91227599,54.00333333,62.3468254,66.97727273,63.86715686,55.61357527,59.70359848,70.29632035,59.21203704,58.54291045,58.88,73.30144928,55.63089744,67.49342105,75.2988189,58.63936782,66.01268939,51.55952381,57.4008547,52.8537037,62.13409091,54.52173913
